Dep.,code,ColorT1,Color_hachT1,Abs_Commune
17,17019,rose,hach_rouge,45.2
17,17142,rose,hach_rouge,52.9
17,17153,rose,hach_rouge,52.1
17,17190,rose,hach_rouge,45.4
17,17121,rose,hach_rouge,41.9
17,17161,rose,hach_rouge,48.7
17,17300,rose,hach_rouge,52.9
17,17200,rose,hach_rouge,48.5
17,17051,rose,hach_rouge,45.4
17,17286,rose,hach_rouge,42.9
17,17207,rose,hach_rouge,37.9
17,17222,rose,hach_rouge,47.4
17,17264,rose,hach_rouge,46.9
17,17274,rose,hach_rouge,49
17,17291,rose,hach_rouge,52.8
17,17297,rose,hach_rouge,48.2
17,17318,rose,hach_rouge,36.7
17,17369,rose,hach_rouge,48.3
17,17414,rose,hach_rouge,48.4
17,17360,rose,hach_rouge,47.6
17,17003,rouge,hach_orange,50
17,17007,rouge,hach_orange,45.5
17,17008,orange,hach_rouge,50.4
17,17009,rouge,hach_orange,56.2
17,17010,orange,hach_rouge,44.7
17,17018,rouge,hach_orange,58.5
17,17028,rouge,hach_orange,49.1
17,17032,rouge,hach_orange,53.6
17,17041,rouge,hach_orange,56.7
17,17057,orange,hach_rouge,53.4
17,17059,orange,hach_rouge,48.3
17,17063,rouge,hach_orange,50.4
17,17065,orange,hach_rouge,45.1
17,17080,rouge,hach_orange,57.4
17,17091,orange,hach_rouge,54.6
17,17094,orange,hach_rouge,46.3
17,17107,rouge,hach_orange,52.8
17,17109,orange,hach_rouge,46.8
17,17127,rouge,hach_orange,53.4
17,17132,rouge,hach_orange,53.1
17,17136,orange,hach_rouge,52.1
17,17158,rouge,hach_orange,60.4
17,17166,orange,hach_rouge,54.5
17,17168,orange,hach_rouge,44.1
17,17004,orange,hach_rouge,28.4
17,17457,rouge,hach_orange,58.3
17,17182,rouge,hach_orange,54
17,17193,orange,hach_rouge,45.7
17,17194,orange,hach_rouge,51.9
17,17201,orange,hach_rouge,51.1
17,17303,rouge,hach_orange,51.3
17,17203,orange,hach_rouge,45
17,17186,rouge,hach_orange,62.6
17,17447,rouge,hach_orange,57.1
17,17205,orange,hach_rouge,51.4
17,17208,orange,hach_rouge,54.1
17,17218,orange,hach_rouge,55.1
17,17221,rouge,hach_orange,55.7
17,17245,rouge,hach_orange,52.1
17,17267,orange,hach_rouge,51
17,17293,orange,hach_rouge,52.8
17,17299,rouge,hach_orange,53
17,17315,rouge,hach_orange,55.5
17,17322,rouge,hach_orange,61.2
17,17338,rouge,hach_orange,54.2
17,17349,orange,hach_rouge,53.6
17,17353,orange,hach_rouge,49.3
17,17359,rouge,hach_orange,50.4
17,17373,rouge,hach_orange,52
17,17376,orange,hach_rouge,59.1
17,17382,rouge,hach_orange,50.8
17,17340,rouge,hach_orange,52.8
17,17391,orange,hach_rouge,49.6
17,17394,rouge,hach_orange,53.5
17,17396,orange,hach_rouge,52.8
17,17413,orange,hach_rouge,45
17,17407,orange,hach_rouge,54.1
17,17420,orange,hach_rouge,44.8
17,17434,orange,hach_rouge,51.1
17,17439,rouge,hach_orange,62.7
17,17443,orange,hach_rouge,52.4
17,17463,orange,hach_rouge,43.3
17,17466,orange,hach_rouge,54.1
17,17472,orange,hach_rouge,55.7
17,17480,rouge,hach_orange,52.8
17,17482,rouge,hach_orange,51.5
17,17483,orange,hach_rouge,54.1
17,17011,orange,hach_bleuemarine,46.7
17,17012,orange,hach_bleuemarine,51.8
17,17013,bleuemarine,hach_orange,58.2
17,17017,bleuemarine,hach_orange,51.2
17,17022,bleuemarine,hach_orange,52.9
17,17023,bleuemarine,hach_orange,59
17,17024,bleuemarine,hach_orange,49.3
17,17025,orange,hach_bleuemarine,51.2
17,17026,bleuemarine,hach_orange,55.4
17,17029,orange,hach_bleuemarine,39.4
17,17031,bleuemarine,hach_orange,55.7
17,17035,bleuemarine,hach_orange,38.5
17,17037,orange,hach_bleuemarine,50.8
17,17042,bleuemarine,hach_orange,53.2
17,17043,bleuemarine,hach_orange,61.1
17,17046,bleuemarine,hach_orange,44.3
17,17048,bleuemarine,hach_orange,57.8
17,17049,orange,hach_bleuemarine,33.3
17,17053,bleuemarine,hach_orange,54.8
17,17062,orange,hach_bleuemarine,40.6
17,17067,orange,hach_bleuemarine,50.7
17,17070,bleuemarine,hach_orange,55
17,17072,bleuemarine,hach_orange,51
17,17073,bleuemarine,hach_orange,44.9
17,17085,bleuemarine,hach_orange,51.7
17,17086,orange,hach_bleuemarine,50
17,17087,bleuemarine,hach_orange,51.4
17,17100,bleuemarine,hach_orange,46.1
17,17101,bleuemarine,hach_orange,46.9
17,17102,orange,hach_bleuemarine,45.8
17,17105,bleuemarine,hach_orange,47.6
17,17114,bleuemarine,hach_orange,40.3
17,17117,orange,hach_bleuemarine,47.4
17,17124,bleuemarine,hach_orange,59.4
17,17125,orange,hach_bleuemarine,47.6
17,17126,bleuemarine,hach_orange,44.7
17,17128,bleuemarine,hach_orange,49.5
17,17135,bleuemarine,hach_orange,50.9
17,17138,orange,hach_bleuemarine,41.8
17,17139,orange,hach_bleuemarine,53.9
17,17141,orange,hach_bleuemarine,52.2
17,17147,bleuemarine,hach_orange,53.9
17,17148,bleuemarine,hach_orange,48.9
17,17277,bleuemarine,hach_orange,51.7
17,17157,orange,hach_bleuemarine,39.5
17,17162,orange,hach_bleuemarine,45
17,17164,orange,hach_bleuemarine,46.2
17,17165,bleuemarine,hach_orange,53
17,17176,bleuemarine,hach_orange,46.7
17,17180,bleuemarine,hach_orange,38.2
17,17181,bleuemarine,hach_orange,58.5
17,17188,orange,hach_bleuemarine,44.9
17,17198,orange,hach_bleuemarine,44.9
17,17071,bleuemarine,hach_orange,49.6
17,17089,bleuemarine,hach_orange,53.4
17,17137,bleuemarine,hach_orange,48.2
17,17195,bleuemarine,hach_orange,48.5
17,17465,orange,hach_bleuemarine,58.5
17,17471,bleuemarine,hach_orange,47.2
17,17202,orange,hach_bleuemarine,42.2
17,17143,bleuemarine,hach_orange,50.3
17,17177,bleuemarine,hach_orange,48.9
17,17252,bleuemarine,hach_orange,48.2
17,17426,bleuemarine,hach_orange,50.5
17,17149,orange,hach_bleuemarine,43.6
17,17150,bleuemarine,hach_orange,54.8
17,17179,orange,hach_bleuemarine,44.8
17,17266,bleuemarine,hach_orange,54.3
17,17451,orange,hach_bleuemarine,57.7
17,17206,bleuemarine,hach_orange,51.5
17,17211,bleuemarine,hach_orange,56.6
17,17212,bleuemarine,hach_orange,50.4
17,17213,bleuemarine,hach_orange,53.1
17,17217,bleuemarine,hach_orange,52.6
17,17223,orange,hach_bleuemarine,56.5
17,17224,bleuemarine,hach_orange,55.1
17,17226,bleuemarine,hach_orange,54.7
17,17234,bleuemarine,hach_orange,48.6
17,17235,bleuemarine,hach_orange,50.5
17,17239,bleuemarine,hach_orange,51.8
17,17254,bleuemarine,hach_orange,40.4
17,17256,bleuemarine,hach_orange,55.2
17,17257,bleuemarine,hach_orange,56.9
17,17261,bleuemarine,hach_orange,53.5
17,17262,bleuemarine,hach_orange,51.4
17,17268,orange,hach_bleuemarine,34.7
17,17271,bleuemarine,hach_orange,46.4
17,17275,bleuemarine,hach_orange,49.2
17,17288,bleuemarine,hach_orange,56.3
17,17289,orange,hach_bleuemarine,40.2
17,17290,bleuemarine,hach_orange,53.8
17,17292,bleuemarine,hach_orange,52.3
17,17294,bleuemarine,hach_orange,48.9
17,17301,orange,hach_bleuemarine,33.3
17,17313,bleuemarine,hach_orange,47.1
17,17314,bleuemarine,hach_orange,57.9
17,17321,orange,hach_bleuemarine,49.8
17,17327,bleuemarine,hach_orange,47
17,17334,bleuemarine,hach_orange,49.2
17,17336,orange,hach_bleuemarine,47
17,17344,bleuemarine,hach_orange,55.4
17,17347,orange,hach_bleuemarine,59.1
17,17350,bleuemarine,hach_orange,48.7
17,17356,bleuemarine,hach_orange,52.4
17,17358,orange,hach_bleuemarine,52.8
17,17361,bleuemarine,hach_orange,48.5
17,17367,bleuemarine,hach_orange,50.9
17,17377,bleuemarine,hach_orange,36.1
17,17381,bleuemarine,hach_orange,51.9
17,17383,bleuemarine,hach_orange,48.8
17,17384,orange,hach_bleuemarine,44.6
17,17395,orange,hach_bleuemarine,47.6
17,17397,orange,hach_bleuemarine,51
17,17401,bleuemarine,hach_orange,50
17,17412,bleuemarine,hach_orange,48.7
17,17374,bleuemarine,hach_orange,58.3
17,17415,orange,hach_bleuemarine,55.6
17,17416,orange,hach_bleuemarine,46.3
17,17422,bleuemarine,hach_orange,56.8
17,17427,orange,hach_bleuemarine,42.4
17,17428,orange,hach_bleuemarine,53.3
17,17435,bleuemarine,hach_orange,46.2
17,17436,orange,hach_bleuemarine,48.7
17,17440,orange,hach_bleuemarine,46.6
17,17444,bleuemarine,hach_orange,52.2
17,17446,bleuemarine,hach_orange,44.7
17,17448,bleuemarine,hach_orange,52.3
17,17450,orange,hach_bleuemarine,41.6
17,17459,orange,hach_bleuemarine,46.2
17,17460,bleuemarine,hach_orange,50.7
17,17462,orange,hach_bleuemarine,48.7
17,17464,orange,hach_bleuemarine,52.4
17,17467,bleuemarine,hach_orange,50
17,17470,orange,hach_bleuemarine,43
17,17473,orange,hach_bleuemarine,39.1
17,17474,bleuemarine,hach_orange,55.7
17,17477,orange,hach_bleuemarine,45.2
17,17478,bleuemarine,hach_orange,45.9
17,17481,bleuemarine,hach_orange,48.5
17,17002,bleuemarine,hach_orange,42
17,17005,orange,hach_bleuemarine,44.9
17,17006,orange,hach_bleuemarine,50.2
17,17015,bleuemarine,hach_orange,53.1
17,17016,bleuemarine,hach_orange,56.2
17,17020,orange,hach_bleuemarine,52.6
17,17027,bleuemarine,hach_orange,48.8
17,17034,bleuemarine,hach_orange,50.8
17,17038,bleuemarine,hach_orange,46.8
17,17039,bleuemarine,hach_orange,52
17,17044,bleuemarine,hach_orange,52.1
17,17047,bleuemarine,hach_orange,59
17,17050,bleuemarine,hach_orange,55.1
17,17052,bleuemarine,hach_orange,48.2
17,17054,bleuemarine,hach_orange,50.8
17,17055,orange,hach_bleuemarine,49.1
17,17056,bleuemarine,hach_orange,47.5
17,17060,orange,hach_bleuemarine,42.2
17,17061,orange,hach_bleuemarine,51
17,17066,orange,hach_bleuemarine,42.7
17,17068,bleuemarine,hach_orange,41.5
17,17069,bleuemarine,hach_orange,57.1
17,17074,bleuemarine,hach_orange,52.9
17,17076,orange,hach_bleuemarine,51.4
17,17077,bleuemarine,hach_orange,52.3
17,17078,bleuemarine,hach_orange,56.1
17,17081,bleuemarine,hach_orange,51.9
17,17082,orange,hach_bleuemarine,48.9
17,17084,bleuemarine,hach_orange,55.3
17,17092,bleuemarine,hach_orange,37.5
17,17095,bleuemarine,hach_orange,48.1
17,17096,orange,hach_bleuemarine,31
17,17098,orange,hach_bleuemarine,48.6
17,17099,bleuemarine,hach_orange,48.7
17,17104,orange,hach_bleuemarine,48.5
17,17106,bleuemarine,hach_orange,53.1
17,17108,orange,hach_bleuemarine,48.1
17,17110,bleuemarine,hach_orange,52.6
17,17111,orange,hach_bleuemarine,54
17,17115,orange,hach_bleuemarine,46.2
17,17116,orange,hach_bleuemarine,49.3
17,17118,bleuemarine,hach_orange,51.4
17,17122,orange,hach_bleuemarine,49.7
17,17129,bleuemarine,hach_orange,47.6
17,17130,bleuemarine,hach_orange,52.6
17,17131,bleuemarine,hach_orange,49.8
17,17133,bleuemarine,hach_orange,51.9
17,17145,orange,hach_bleuemarine,51
17,17152,bleuemarine,hach_orange,49.4
17,17156,bleuemarine,hach_orange,39
17,17159,bleuemarine,hach_orange,51.7
17,17160,orange,hach_bleuemarine,38.9
17,17163,orange,hach_bleuemarine,51.8
17,17172,orange,hach_bleuemarine,49.6
17,17175,bleuemarine,hach_orange,52.9
17,17178,orange,hach_bleuemarine,47
17,17183,bleuemarine,hach_orange,53.7
17,17187,orange,hach_bleuemarine,48.1
17,17192,orange,hach_bleuemarine,42.2
17,17196,bleuemarine,hach_orange,48.3
17,17197,orange,hach_bleuemarine,52.6
17,17199,orange,hach_bleuemarine,45.2
17,17033,bleuemarine,hach_orange,53.5
17,17113,bleuemarine,hach_orange,53.1
17,17173,orange,hach_bleuemarine,55.1
17,17191,bleuemarine,hach_orange,57.8
17,17167,bleuemarine,hach_orange,60.6
17,17276,bleuemarine,hach_orange,49.2
17,17204,orange,hach_bleuemarine,56.6
17,17209,orange,hach_bleuemarine,38.9
17,17210,bleuemarine,hach_orange,52.7
17,17215,bleuemarine,hach_orange,35.1
17,17220,orange,hach_bleuemarine,55
17,17227,orange,hach_bleuemarine,51.2
17,17229,bleuemarine,hach_orange,53.8
17,17230,orange,hach_bleuemarine,49.4
17,17231,orange,hach_bleuemarine,46.3
17,17232,bleuemarine,hach_orange,53.8
17,17233,orange,hach_bleuemarine,48.5
17,17236,bleuemarine,hach_orange,51.1
17,17240,orange,hach_bleuemarine,52.9
17,17241,bleuemarine,hach_orange,52.4
17,17242,orange,hach_bleuemarine,52.1
17,17243,orange,hach_bleuemarine,56.1
17,17244,bleuemarine,hach_orange,52.5
17,17248,orange,hach_bleuemarine,52.2
17,17249,orange,hach_bleuemarine,48.9
17,17250,orange,hach_bleuemarine,56.1
17,17258,orange,hach_bleuemarine,57.1
17,17259,orange,hach_bleuemarine,36.1
17,17260,bleuemarine,hach_orange,56.3
17,17263,bleuemarine,hach_orange,53.9
17,17269,bleuemarine,hach_orange,56.6
17,17270,orange,hach_bleuemarine,49
17,17273,orange,hach_bleuemarine,55.4
17,17279,bleuemarine,hach_orange,54.2
