Dep.,code,ColorT1,Color_hachT1,Abs_Commune
16,16001,bleue,hach_bleuemarine,47.8
16,16002,bleuemarine,hach_rose,44.2
16,16003,bleuemarine,hach_rose,51.6
16,16005,bleuemarine,hach_rose,46.5
16,16007,rouge,hach_bleuemarine,46.3
16,16008,rose,hach_bleuemarine,42.7
16,16009,bleuemarine,hach_rose,46.4
16,16011,bleuemarine,hach_rose,51.9
16,16012,bleuemarine,hach_orange,51.1
16,16013,orange,hach_bleue,51.3
16,16014,bleuemarine,hach_rouge,50.5
16,16015,rouge,hach_orange,52.1
16,16016,rose,hach_bleuemarine,45.6
16,16018,orange,hach_bleuemarine,50.3
16,16019,orange,hach_bleuemarine,57.7
16,16020,orange,hach_rouge,39.9
16,16023,bleuemarine,hach_rose,47.3
16,16024,bleuemarine,hach_rose,41.6
16,16025,orange,hach_bleuemarine,49.8
16,16026,orange,hach_rouge,40.7
16,16027,rose,hach_rose,36.6
16,16028,orange,hach_rouge,50.8
16,16029,orange,hach_bleuemarine,53.1
16,16030,orange,hach_bleuemarine,47.6
16,16031,rouge,hach_bleuemarine,42.7
16,16032,orange,hach_bleuemarine,52.1
16,16034,bleuemarine,hach_orange,56.7
16,16035,bleuemarine,hach_orange,47.1
16,16036,rouge,hach_orange,53.3
16,16037,orange,hach_bleuemarine,44.7
16,16038,rose,hach_orange,43.7
16,16039,bleuemarine,hach_grise,40.7
16,16040,orange,hach_bleuemarine,45.7
16,16041,bleuemarine,hach_rouge,45.7
16,16042,orange,hach_rose,39.1
16,16044,rouge,hach_bleuemarine,38.1
16,16045,orange,hach_bleuemarine,44.3
16,16046,bleuemarine,hach_orange,48.2
16,16047,orange,hach_bleuemarine,39
16,16048,bleuemarine,hach_orange,43.9
16,16049,orange,hach_rouge,38.3
16,16050,orange,hach_bleue,47.8
16,16052,orange,hach_bleuemarine,49.7
16,16053,bleuemarine,hach_rouge,45.1
16,16054,grise,hach_bleuemarine,29.5
16,16055,bleuemarine,hach_orange,49.4
16,16056,orange,hach_bleuemarine,52.3
16,16057,orange,hach_bleue,50.4
16,16058,orange,hach_rouge,48.9
16,16059,grise,hach_rose,52.5
16,16060,orange,hach_rouge,51.1
16,16061,rouge,hach_orange,50.8
16,16062,bleuemarine,hach_bleue,46.6
16,16063,orange,hach_bleuemarine,40.3
16,16064,bleuemarine,hach_rose,47.2
16,16065,rose,hach_rose,49
16,16066,orange,hach_bleuemarine,46
16,16067,rouge,hach_bleuemarine,49.5
16,16068,bleuemarine,hach_rose,53.1
16,16069,bleuemarine,hach_rose,51.8
16,16070,rose,hach_bleuemarine,51.6
16,16071,bleuemarine,hach_orange,52.3
16,16072,bleuemarine,hach_rouge,52.8
16,16073,bleuemarine,hach_orange,49.7
16,16074,rouge,hach_bleue,51.4
16,16075,orange,hach_bleuemarine,41.6
16,16076,rose,hach_bleuemarine,41.7
16,16077,bleuemarine,hach_rose,48.2
16,16078,orange,hach_rouge,50.4
16,16079,orange,hach_rouge,48.9
16,16081,bleuemarine,hach_orange,46.8
16,16082,orange,hach_bleuemarine,47.4
16,16083,grise,hach_rose,46.4
16,16084,rouge,hach_bleuemarine,32.2
16,16085,bleuemarine,hach_orange,51.4
16,16086,bleuemarine,hach_rose,44.7
16,16087,rouge,hach_bleuemarine,47.7
16,16088,bleuemarine,hach_orange,52
16,16089,orange,hach_bleuemarine,48
16,16090,orange,hach_bleuemarine,51.2
16,16091,rouge,hach_bleuemarine,40
16,16093,orange,hach_rose,51
16,16095,orange,hach_rose,50.4
16,16096,rose,hach_rose,51.5
16,16097,orange,hach_rouge,53.5
16,16098,grise,hach_bleuemarine,40.7
16,16099,orange,hach_bleuemarine,41.9
16,16100,bleuemarine,hach_rose,43
16,16101,orange,hach_rouge,48
16,16102,orange,hach_rouge,56.1
16,16103,bleuemarine,hach_rouge,35.1
16,16104,bleuemarine,hach_grise,43.1
16,16105,bleuemarine,hach_rouge,57.4
16,16106,orange,hach_rose,45.9
16,16107,bleuemarine,hach_rose,46.7
16,16108,rose,hach_rose,59.6
16,16109,bleuemarine,hach_orange,59
16,16110,grise,hach_bleuemarine,46.1
16,16111,bleuemarine,hach_orange,40.9
16,16112,bleuemarine,hach_rouge,52.7
16,16113,rose,hach_orange,53.7
16,16114,orange,hach_rose,44.9
16,16116,orange,hach_bleuemarine,58.4
16,16117,bleuemarine,hach_orange,30.9
